ISO	Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Estimates Start After
GNQ	Equatorial Guinea	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.032	0.030	0.035	0.040	0.044	0.074	0.091	0.111	0.119	0.105	0.133	0.132	0.160	0.162	0.120	0.169	0.276	0.526	0.440	0.738	1.156	1.672	2.061	3.765	5.950	8.184	10.087	13.072	19.750	15.028	16.299	21.329	22.390	21.943	21.462	12.162	10.179	10.069	9.907	9.933	9.993	10.300	10.553	2016
ERI	Eritrea	Gross domestic product, current prices	National currency	Billions	Source: IMF Staff Estimates Latest actual data: 2006 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Eritrean nakfa Data last updated: 08/2017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.191	2.528	3.450	3.943	4.758	5.347	5.958	6.471	6.799	8.509	10.180	12.077	15.291	16.880	18.622	20.264	21.220	28.547	32.549	40.095	47.539	53.849	62.296	71.742	82.281	93.018	105.406	119.375	125.074	142.793	163.214	2006
ERI	Eritrea	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.783	0.483	0.560	0.624	0.749	0.767	0.809	0.794	0.706	0.752	0.729	0.870	1.109	1.098	1.211	1.318	1.380	1.857	2.117	2.608	3.092	3.502	4.052	4.666	5.352	6.050	6.856	7.764	8.135	9.287	10.616	2006
EST	Estonia	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2016 Notes: Data from 2003 onwards reflect methodological revisions. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2010 Primary domestic currency: Euro Data last updated: 08/2017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.469	2.018	2.779	3.649	4.495	5.049	5.379	6.171	6.976	7.774	8.709	9.708	11.262	13.522	16.246	16.517	14.146	14.717	16.668	17.935	18.932	19.766	20.348	21.098	22.780	24.373	25.917	27.467	29.032	30.681	2016
EST	Estonia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.739	2.435	3.797	4.745	5.072	5.621	5.741	5.706	6.260	7.345	9.852	12.071	14.024	16.987	22.265	24.285	19.712	19.536	23.191	23.057	25.145	26.266	22.578	23.331	25.683	28.672	30.628	32.511	34.244	36.034	2016
ETH	Ethiopia	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2015/16 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs. Data refer to fiscal years (July/June). Data for 2011 represent fiscal year 2010/11. Start/end months of reporting year: July/June Base year: 2010/11. The base year is 2010/11 Chain-weighted: No Primary domestic currency: Ethiopian birr Data last updated: 08/2017	15.287	15.686	16.505	18.347	17.336	20.302	21.089	22.543	23.360	24.575	26.071	28.831	30.420	39.022	41.447	49.576	55.870	57.874	55.655	59.800	67.128	68.554	67.067	73.992	87.416	107.349	132.669	173.297	250.133	337.609	385.943	515.079	747.326	866.921	1,060.825	1,297.961	1,528.044	1,781.233	2,086.801	2,430.627	2,832.881	3,313.521	3,859.247	2016
ETH	Ethiopia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	7.385	7.578	7.973	8.863	8.375	9.808	10.188	10.890	11.285	11.872	12.595	13.928	14.696	9.143	8.135	8.431	8.826	8.909	8.078	7.927	8.235	8.223	7.851	8.623	10.142	12.408	15.283	19.701	26.839	32.464	29.917	31.958	43.134	47.656	55.512	64.683	72.523	79.735	87.303	95.035	103.516	113.158	123.173	2016
FJI	Fiji	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office. Fiji Islands Bureau of Statistics Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2011 Chain-weighted: No Primary domestic currency: Fiji dollar Data last updated: 09/2017	1.007	1.080	1.139	1.169	1.305	1.347	1.495	1.499	1.624	1.795	1.980	2.042	2.302	2.522	2.672	2.771	2.988	3.023	3.292	3.825	3.585	3.779	4.030	4.391	4.727	5.084	5.371	5.483	5.812	5.811	6.236	6.768	7.110	7.716	8.462	9.150	9.785	10.461	11.152	11.877	12.649	13.472	14.334	2016
FJI	Fiji	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.231	1.264	1.222	1.149	1.205	1.168	1.320	1.205	1.136	1.210	1.337	1.384	1.532	1.635	1.825	1.970	2.129	2.094	1.656	1.942	1.684	1.660	1.843	2.316	2.727	3.007	3.103	3.405	3.647	2.971	3.251	3.775	3.972	4.190	4.484	4.362	4.679	5.054	5.387	5.738	6.111	6.508	6.925	2016
FIN	Finland	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office. Downloaded through Haver Analytics Latest actual data: 2016 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 08/2017	33.682	38.094	42.831	47.790	53.498	58.285	62.740	67.751	76.754	85.929	91.010	86.962	84.852	85.748	90.768	98.556	102.060	110.738	120.382	126.923	136.261	144.437	148.289	151.569	158.477	164.387	172.614	186.584	193.711	181.029	187.100	196.869	199.793	203.338	205.474	209.581	215.615	222.986	231.058	239.313	247.872	256.574	265.549	2016
FIN	Finland	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	53.731	52.625	53.123	51.065	53.028	56.234	73.660	91.782	108.806	119.237	141.806	128.279	113.104	89.323	103.761	134.350	132.155	127.005	134.111	135.403	125.908	129.361	140.047	171.398	197.035	204.786	216.742	255.739	285.087	252.137	248.262	273.925	256.849	270.065	273.042	232.556	238.601	251.481	271.816	282.812	293.392	302.634	311.880	2016
FRA	France	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2016 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010. On May 15 2014 the National Accounts were rebased from 2005 to 2010. In addition, concepts underpinning the computation of accounts have been substantially modified in compliance with the new European System of Accounts (ESA, 2010). One important methodological change affects the computation of R&D expenditures as an investment (previously registered as intermediate consumption) which results in a substantial revision in the GDP level. Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 09/2017	453.211	511.673	587.952	652.816	709.648	760.509	817.854	859.827	929.444	1,001.897	1,058.627	1,097.112	1,136.841	1,148.404	1,186.345	1,224.967	1,258.950	1,299.739	1,358.776	1,408.159	1,485.303	1,544.629	1,594.259	1,637.438	1,710.760	1,771.978	1,853.267	1,945.670	1,995.850	1,939.017	1,998.481	2,059.284	2,086.929	2,115.256	2,147.609	2,194.243	2,228.857	2,283.059	2,350.909	2,429.196	2,513.341	2,600.867	2,692.441	2016
FRA	France	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	704.515	621.172	590.127	564.582	534.333	559.846	776.121	939.453	1,025.679	1,031.314	1,278.666	1,280.302	1,412.100	1,331.659	1,404.479	1,611.198	1,614.708	1,462.606	1,512.957	1,502.245	1,372.452	1,383.406	1,505.649	1,851.660	2,126.995	2,207.450	2,327.052	2,666.805	2,937.321	2,700.658	2,651.772	2,865.304	2,682.901	2,809.390	2,853.832	2,434.787	2,466.472	2,574.807	2,765.601	2,870.735	2,974.898	3,067.768	3,162.197	2016
GAB	Gabon	Gross domestic product, current prices	National currency	Billions	Source: Ministry of Finance or Treasury Latest actual data: 2015 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 07/2017	963.205	1,117.084	1,266.064	1,405.672	1,550.073	1,678.288	1,693.196	1,111.759	1,214.948	1,422.221	1,725.761	1,623.127	1,576.334	1,630.197	2,477.828	2,635.849	3,101.850	3,310.891	2,816.669	3,057.337	3,842.278	3,679.028	3,701.273	3,776.236	4,097.532	4,989.260	5,309.448	5,961.579	6,944.822	5,738.119	7,111.477	8,581.583	8,766.489	8,690.517	8,988.325	8,503.445	8,310.636	8,413.012	8,632.589	9,162.996	9,717.642	10,365.792	11,073.821	2015
GAB	Gabon	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	4.559	4.111	3.853	3.689	3.547	3.736	4.889	3.699	4.079	4.458	6.339	5.754	5.955	5.757	4.463	5.281	6.064	5.673	4.774	4.966	5.397	5.019	5.310	6.497	7.756	9.459	10.154	12.439	15.509	12.152	14.359	18.203	17.181	17.596	18.209	14.385	14.021	14.467	15.482	16.508	17.535	18.639	19.913	2015
GMB	The Gambia	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Gambian dalasi Data last updated: 09/2017	0.627	0.687	0.753	0.874	0.892	1.129	1.566	2.145	2.361	2.803	3.416	3.995	4.389	4.817	5.014	5.221	5.594	6.033	6.465	7.104	7.768	9.462	10.629	14.470	17.381	17.836	18.385	19.871	21.433	23.997	26.662	26.465	29.191	32.324	34.774	38.581	42.252	47.139	52.041	57.169	62.617	68.663	75.187	2016
GMB	The Gambia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.364	0.349	0.330	0.332	0.238	0.290	0.226	0.303	0.352	0.370	0.434	0.455	0.493	0.529	0.523	0.547	0.571	0.591	0.607	0.623	0.607	0.603	0.533	0.530	0.579	0.624	0.655	0.799	0.966	0.901	0.952	0.898	0.910	0.899	0.833	0.892	0.965	1.038	1.094	1.154	1.213	1.274	1.338	2016
GEO	Georgia	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2016 Notes: Data prior to 1996 cannot be confirmed by national sources National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: Yes, from 1996 Primary domestic currency: Georgian lari Data last updated: 09/2017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.912	2.457	3.868	4.555	5.022	5.669	6.043	6.674	7.456	8.564	9.824	11.621	13.790	16.994	19.075	17.986	20.743	24.344	26.167	26.847	29.150	31.756	33.922	37.380	40.091	43.253	46.755	50.768	55.165	2016
GEO	Georgia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.827	1.907	3.063	3.511	3.607	2.805	3.057	3.218	3.396	3.991	5.126	6.411	7.745	10.173	12.795	10.767	11.638	14.435	15.847	16.141	16.515	13.996	14.330	15.230	16.728	18.047	19.509	21.183	23.018	2016
DEU	Germany	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2016 Notes: Data until 1990 refers to German federation only (West Germany). National accounts data until 1990 do not include FISIM. Data from 1991 refer to United Germany and include FISIM. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010. The GDP deflator in the base year is not exactly equal to 100 since it is computed based on the quarterly real GDP data, which have been adjusted for seasonal and calendar effects. Chain-weighted: Yes, from 1991. From 1991. Primary domestic currency: Euro Data last updated: 08/2017	789.179	823.769	856.300	897.890	941.950	983.437	1,039.954	1,074.029	1,130.855	1,202.711	1,312.451	1,579.800	1,695.320	1,748.550	1,830.290	1,898.880	1,926.320	1,967.090	2,018.230	2,064.880	2,116.480	2,179.850	2,209.290	2,220.080	2,270.620	2,300.860	2,393.250	2,513.230	2,561.740	2,460.280	2,580.060	2,703.120	2,758.260	2,826.240	2,932.470	3,043.650	3,144.050	3,238.082	3,344.798	3,447.586	3,558.422	3,670.431	3,790.776	2016
DEU	Germany	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	850.642	715.726	691.011	689.366	649.558	658.784	940.833	1,170.617	1,262.020	1,252.915	1,592.710	1,869.104	2,128.558	2,069.766	2,211.022	2,594.371	2,504.671	2,221.738	2,246.445	2,202.845	1,955.673	1,952.325	2,086.496	2,510.528	2,823.071	2,866.308	3,005.081	3,444.723	3,770.150	3,426.672	3,423.466	3,761.142	3,545.946	3,753.687	3,896.788	3,377.310	3,479.232	3,651.871	3,934.809	4,074.232	4,211.901	4,329.338	4,452.161	2016
GHA	Ghana	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Ghanaian cedi Data last updated: 08/2017	0.007	0.012	0.014	0.030	0.043	0.055	0.082	0.120	0.169	0.227	0.326	0.413	0.482	0.630	0.847	1.262	1.846	2.298	2.816	3.350	4.420	6.198	7.954	10.770	13.005	15.833	18.705	23.154	30.179	36.598	46.042	59.816	75.315	93.416	113.343	136.957	167.315	202.389	241.549	279.328	315.464	352.989	395.193	2016
GHA	Ghana	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	24.995	42.361	50.424	38.543	12.064	10.123	9.192	7.844	8.317	8.424	9.979	11.238	11.043	9.713	8.872	10.517	11.298	11.195	12.160	12.576	8.107	8.647	10.032	12.418	14.451	17.461	20.401	24.758	28.528	25.590	32.174	39.565	41.939	47.806	38.774	36.893	42.778	45.464	49.226	52.863	56.415	60.449	65.127	2016
GRC	Greece	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office. Formally, the National Statistical Office (ELSTAT) Latest actual data: 2016. For quarterly data, latest actual is 2017Q2. Notes: The National Statistical Office has significantly and repeatedly revised national accounts data over the course of the past several years. Official data are only available from 1995. Data prior to 1995 came from European Commission Macro Forecasts (AMECO database). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 08/2017	7.110	8.511	10.705	12.773	15.885	19.382	23.161	26.091	31.747	37.731	45.539	56.241	65.016	73.207	83.021	93.064	103.037	114.712	125.263	133.789	141.247	152.194	163.461	178.905	193.716	199.242	217.862	232.695	241.990	237.534	226.031	207.029	191.204	180.654	177.941	175.697	175.888	181.150	188.343	194.505	201.468	208.511	214.206	2016
GRC	Greece	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	56.573	52.257	54.799	49.634	48.337	47.964	56.434	65.661	76.465	79.241	97.979	105.642	116.624	109.010	116.539	136.968	145.875	143.343	144.645	149.040	132.197	136.308	154.376	202.311	240.848	248.207	273.558	318.940	356.140	330.837	299.919	288.062	245.807	239.937	236.455	194.958	194.639	204.299	221.566	229.859	238.466	245.943	251.579	2016
GRD	Grenada	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2015. Estimates. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2017	0.299	0.312	0.339	0.356	0.393	0.453	0.506	0.581	0.638	0.722	0.751	0.812	0.837	0.836	0.878	0.924	0.991	1.059	1.204	1.301	1.404	1.405	1.459	1.596	1.618	1.877	1.886	2.048	2.230	2.082	2.082	2.102	2.160	2.275	2.461	2.692	2.852	3.000	3.136	3.276	3.428	3.595	3.771	2015
GRD	Grenada	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.111	0.116	0.125	0.132	0.146	0.168	0.188	0.215	0.236	0.267	0.278	0.301	0.310	0.310	0.325	0.342	0.367	0.392	0.446	0.482	0.520	0.520	0.540	0.591	0.599	0.695	0.699	0.759	0.826	0.771	0.771	0.779	0.800	0.843	0.911	0.997	1.056	1.111	1.162	1.213	1.269	1.332	1.397	2015
GTM	Guatemala	Gross domestic product, current prices	National currency	Billions	Source: Central Bank Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2001 Primary domestic currency: Guatemalan quetzal Data last updated: 08/2017	7.319	7.995	8.098	8.406	8.796	10.385	14.711	16.451	19.083	22.000	31.875	43.687	49.767	58.955	68.181	77.362	86.603	97.643	111.823	121.796	133.427	146.978	162.507	174.044	190.440	207.729	229.836	261.760	295.872	307.967	333.093	371.012	394.723	423.098	454.053	488.128	522.594	558.891	596.565	643.583	695.772	750.752	815.195	2016
GTM	Guatemala	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	7.319	7.995	8.098	8.406	8.796	10.385	5.615	6.502	7.042	8.118	7.106	8.687	9.625	10.462	11.855	13.314	14.218	16.103	17.488	16.492	17.187	18.703	20.777	21.918	23.965	27.211	30.231	34.113	39.137	37.734	41.338	47.655	50.388	53.851	58.722	63.767	67.495	70.806	74.595	79.606	85.019	90.448	95.908	2016
GIN	Guinea	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2011 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2003 Chain-weighted: No Primary domestic currency: Guinean franc Data last updated: 08/2017	176.419	192.826	254.530	333.435	423.463	529.116	925.660	1,216.868	1,573.748	2,002.003	2,449.458	3,162.419	4,122.175	4,359.278	4,597.067	5,095.078	5,337.236	5,708.600	6,187.294	6,656.554	7,055.304	7,424.091	7,947.461	9,446.370	11,246.357	16,422.581	21,728.000	26,369.000	32,046.000	32,248.000	39,289.700	45,176.000	51,605.043	57,865.000	61,663.600	65,626.600	75,943.317	87,354.844	99,557.702	113,630.264	129,548.339	147,592.970	167,480.859	2011
GIN	Guinea	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	2.400	2.381	2.335	2.284	2.327	2.473	2.675	2.840	3.317	3.384	3.710	4.195	4.570	4.562	4.707	5.139	5.316	5.212	5.003	4.798	4.039	3.806	4.022	4.759	5.054	4.506	4.178	6.317	6.966	6.753	6.866	6.034	7.304	8.374	8.790	8.763	8.476	9.183	9.855	10.614	11.439	12.326	13.224	2011
GNB	Guinea-Bissau	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2015 Notes: Data prior to 1997 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2017	36.126	59.421	81.732	106.908	85.253	128.770	96.925	71.178	65.658	84.607	87.779	128.448	129.065	107.888	118.329	227.228	222.152	240.723	221.641	249.890	258.220	278.627	284.550	276.878	280.577	309.516	309.467	333.565	387.197	390.403	420.515	518.288	505.078	516.662	520.872	615.483	682.914	752.912	806.071	864.355	927.424	994.840	1,067.994	2015
GNB	Guinea-Bissau	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.171	0.219	0.249	0.281	0.195	0.287	0.280	0.237	0.221	0.266	0.324	0.456	0.500	0.386	0.435	0.460	0.438	0.416	0.376	0.406	0.364	0.380	0.410	0.477	0.532	0.588	0.592	0.697	0.869	0.829	0.851	1.099	0.990	1.046	1.055	1.041	1.152	1.295	1.446	1.557	1.673	1.789	1.909	2015
GUY	Guyana	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2006. Previous base year 1988. Rebased to 2006 in 2009. GDP deflator not equal to 100 in base year (2006) because the nominal GDP at market prices includes indirect taxes. Chain-weighted: No Primary domestic currency: Guyana dollar Data last updated: 08/2017	1.424	1.508	1.378	1.399	1.662	1.968	2.236	4.717	6.145	16.745	25.432	61.414	74.629	92.604	119.447	140.538	157.195	169.422	170.538	196.545	205.128	210.976	221.117	231.084	248.141	262.250	291.965	352.152	391.506	413.113	460.072	525.670	582.656	614.128	635.262	657.389	709.663	755.089	800.372	848.881	1,050.029	1,262.318	1,326.977	2016
GUY	Guyana	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.559	0.544	0.459	0.466	0.465	0.474	0.523	0.655	0.615	0.779	0.652	0.735	0.602	0.721	0.874	0.993	1.116	1.188	1.114	1.147	1.123	1.127	1.160	1.197	1.260	1.311	1.455	1.741	1.916	2.023	2.262	2.582	2.854	2.990	3.078	3.183	3.437	3.591	3.721	3.908	4.785	5.695	5.927	2016
HTI	Haiti	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2015/16 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: October/September Base year: 1986/87. Fiscal year 1986-1987 Chain-weighted: No Primary domestic currency: Haitian gourde Data last updated: 08/2017	7.727	8.506	8.847	9.496	10.522	11.684	12.982	6.396	4.206	3.888	4.949	5.335	5.208	7.877	26.164	40.729	46.647	54.006	62.997	69.254	77.580	85.700	94.028	119.758	140.387	168.035	197.138	220.110	250.590	267.880	266.952	302.854	328.061	364.517	391.635	423.644	484.351	547.898	592.552	640.844	693.073	749.559	810.648	2016
HTI	Haiti	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.546	1.702	1.770	1.900	2.105	2.337	2.597	1.279	0.841	0.778	0.990	0.888	0.533	0.610	1.775	2.813	2.908	3.339	3.724	4.154	3.954	3.596	3.472	2.960	3.538	4.310	4.756	5.885	6.550	6.584	6.620	7.516	7.890	8.451	8.774	8.672	8.232	8.360	8.952	9.492	10.064	10.618	11.149	2016
HND	Honduras	Gross domestic product, current prices	National currency	Billions	Source: Central Bank Latest actual data: 2016. Estimates of the CBH, subject to change National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Honduran lempira Data last updated: 08/2017	7.017	7.710	7.940	8.414	9.076	9.952	10.414	11.355	12.649	14.129	17.141	22.306	25.705	31.022	39.462	51.282	61.746	75.443	86.200	92.048	106.654	118.416	129.167	142.818	161.508	183.747	206.288	233.567	262.417	275.632	299.286	335.028	361.349	376.539	414.634	457.432	491.339	540.954	581.850	628.119	678.067	731.987	790.194	2016
HND	Honduras	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	3.508	3.855	3.970	4.207	4.538	4.976	5.207	5.678	6.324	7.065	4.169	4.195	4.675	4.794	4.693	5.415	5.217	5.736	6.366	6.417	7.104	7.566	7.775	8.140	8.772	9.672	10.842	12.275	13.790	14.486	15.730	17.649	18.464	18.436	19.688	20.729	21.367	22.675	23.562	24.224	24.905	25.731	26.774	2016
HKG	Hong Kong SAR	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Hong Kong dollar Data last updated: 09/2017	143.620	173.577	196.005	217.282	261.992	278.127	320.526	394.771	466.077	536.559	599.258	691.323	807.128	931.008	1,049.610	1,119.006	1,235.301	1,373.083	1,308.074	1,285.946	1,337.501	1,321.142	1,297.340	1,256.669	1,316.949	1,412.125	1,503.352	1,650.756	1,707.488	1,659.245	1,776.332	1,934.430	2,037.059	2,138.305	2,260.005	2,398.437	2,491.001	2,605.220	2,705.767	2,823.201	2,952.734	3,097.836	3,263.209	2016
HKG	Hong Kong SAR	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	28.862	31.055	32.291	29.907	33.511	35.657	41.074	50.625	59.708	68.791	76.930	88.960	104.272	120.355	135.813	144.652	159.719	177.356	168.885	165.770	171.669	169.407	166.350	161.384	169.097	181.570	193.534	211.599	219.280	214.046	228.637	248.514	262.627	275.697	291.463	309.406	320.912	334.104	344.781	358.306	370.740	384.551	400.864	2016
HUN	Hungary	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2016. Preliminary Notes: We maintain data only after 1995, as this is what the Statistical office provides. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 2005. Changes in inventories is an estimate. Primary domestic currency: Hungarian forint Data last updated: 09/2017	747.383	808.416	878.859	929.127	1,014.216	1,071.436	1,128.593	1,271.191	1,493.006	1,785.799	2,165.673	2,589.627	3,050.216	3,677.943	4,524.335	5,819.221	7,103.898	8,812.386	10,433.144	11,637.865	13,321.531	15,383.442	17,421.576	19,077.348	21,023.630	22,470.802	24,153.022	25,560.380	27,071.868	26,297.412	27,085.900	28,166.115	28,660.518	30,127.349	32,400.148	33,999.012	35,005.439	36,920.377	39,168.237	41,311.836	43,487.978	45,689.514	47,908.745	2016
HUN	Hungary	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	22.974	23.559	23.993	21.774	21.111	21.378	24.624	27.064	29.615	30.234	34.264	34.651	38.616	40.007	43.023	46.301	46.538	47.178	48.662	49.075	47.209	53.697	67.561	85.050	103.695	112.589	114.801	139.198	157.291	129.965	130.258	140.172	127.171	134.677	139.343	121.660	124.380	132.034	144.307	151.011	157.253	162.605	167.678	2016
ISL	Iceland	Gross domestic product, current prices	National currency	Billions	Source: National Statistics Office Latest actual data: 2016 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1990 Primary domestic currency: Icelandic króna Data last updated: 09/2017	16.540	25.708	40.347	69.756	92.170	125.649	165.984	216.412	265.934	327.197	381.492	412.613	411.674	423.743	450.202	464.098	500.177	538.598	600.900	646.053	703.306	793.628	843.255	867.126	961.859	1,051.241	1,196.094	1,364.052	1,551.434	1,593.338	1,620.293	1,701.586	1,778.499	1,891.242	2,005.942	2,214.086	2,421.958	2,621.375	2,784.158	2,961.991	3,142.222	3,320.650	3,510.888	2016
ISL	Iceland	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	3.447	3.559	3.271	2.808	2.905	3.028	4.038	5.595	6.182	5.736	6.545	6.994	7.154	6.272	6.438	7.174	7.520	7.596	8.468	8.931	8.946	8.144	9.200	11.304	13.709	16.691	17.043	21.295	17.640	12.887	13.255	14.675	14.219	15.479	17.179	16.784	20.047	24.848	28.791	31.081	32.377	33.497	34.533	2016
